sample_name,Site,date,Depth_cm,Ca/Mg,Na/K,Fe/Na,logFeNa
OUT,outlet,10/22/17,0,1.350,2.371,0.428,-0.369
OUT,outlet,10/23/17,0,1.363,2.348,0.490,-0.310
OUT,outlet,10/24/17,0,1.358,2.168,0.556,-0.255
OUT,outlet,10/25/17,0,1.364,1.916,0.507,-0.295
OUT,outlet,10/26/17,0,1.377,2.035,0.429,-0.368
OUT,outlet,10/27/17,0,1.350,2.135,0.654,-0.185
OUT,outlet,10/28/17,0,1.339,2.138,0.523,-0.282
OUT,outlet,10/29/17,0,1.310,2.122,0.582,-0.235
OUT,outlet,10/30/17,0,1.337,2.213,0.577,-0.239
OUT,outlet,11/15/17,0,1.337,2.188,0.413,-0.384
OUT,outlet,11/15/17,0,1.344,2.118,0.332,-0.478
OUT,outlet,11/15/17,0,1.341,2.109,0.282,-0.550
OUT,outlet,11/15/17,0,1.345,2.137,0.324,-0.490
OUT,outlet,11/15/17,0,1.320,2.179,0.312,-0.505
OUT,outlet,11/15/17,0,1.318,2.178,0.309,-0.510
OUT,outlet,11/15/17,0,1.310,2.181,0.284,-0.546
OUT,outlet,11/15/17,0,1.314,2.174,0.304,-0.517
OUT,outlet,11/16/17,0,1.284,2.194,0.294,-0.531
OUT,outlet,11/16/17,0,1.349,2.186,0.293,-0.533
OUT,outlet,11/16/17,0,1.298,2.219,0.304,-0.517
OUT,outlet,11/16/17,0,1.309,2.148,0.309,-0.511
OUT,outlet,4/5/17,0,1.577,3.009,0.024,-1.620
OUT,outlet,7/3/17,0,1.446,2.205,0.325,-0.488
OUT,outlet,6/20/17,0,1.482,2.063,0.201,-0.697
OUT,outlet,4/13/17,0,1.508,2.564,0.075,-1.123
OUT,outlet,4/19/17,0,1.515,2.564,0.075,-1.123
OUT,outlet,6/13/17,0,1.540,2.362,0.088,-1.056
OUT,outlet,8/25/17,0,1.423,2.234,0.595,-0.226
OUT,outlet,9/5/17,0,1.459,2.069,0.204,-0.690
OUT,outlet,9/29/17,0,1.287,2.278,0.706,-0.151
OUT,outlet,3/27/17,0,1.504,2.194,0.113,-0.948
OUT,outlet,4/1/17,0,1.409,2.692,0.115,-0.939
OUT,outlet,4/26/17,0,1.558,3.358,0.016,-1.803
OUT,outlet,5/19/17,0,1.659,4.400,0.068,-1.167
OUT,outlet,5/26/17,0,NA,NA,NA,NA
OUT,outlet,6/7/17,0,1.536,2.332,0.202,-0.694
OUT,outlet,7/7/17,0,NA,NA,NA,NA
OUT,outlet,7/13/17,0,NA,NA,NA,NA
OUT,outlet,10/20/17,0,1.332,2.157,0.683,-0.166
OUT,outlet,11/3/17,0,1.335,1.729,0.366,-0.437
