Sample ID,Site,Collection Date,Depth (cm),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L)
P6,dam pool,4/5/17,60,0.5,269.6,146.5,7.59,126.6,34.52,12.77
P6,dam pool,4/13/17,60,0.5,255.7,151.7,8.565,122.6,38.52,11.94
P6,dam pool,4/19/17,60,0.5,247.3,152.2,8.318,118.7,36.88,11.81
P6,dam pool,4/26/17,60,0.5,245.3,148.9,7.463,114.2,35.65,14.22
P6,dam pool,5/19/17,60,0.5,257.5,152,6.741,122,32.34,9.756
P6,dam pool,5/26/17,60,0.5,297.3,169.7,7.048,141,32.79,9.775
P6,dam pool,6/1/17,60,0.5,256.5,136.9,7.348,116.2,34.9,10.31
P6,dam pool,6/9/17,60,0.5,274.8,150.7,7.565,125.2,35.56,10.52
P6,dam pool,7/13/17,60,0.5,248.2,131.8,8.752,118.8,31.53,11.66
P6,dam pool,7/7/17,60,0.5,231.7,126.7,8.294,110.1,29.09,11.34
P6,dam pool,8/25/17,60,0.5,259.1,156.1,6.583,120.3,34.99,9.241
P6,dam pool,9/5/17,60,0.5,258.6,49.87,12.1,117.8,29.08,16.55
P6,dam pool,10/6/17,60,0.5,288.7,152.3,5.785,136.3,27.11,7.358
P6,dam pool,9/29/17,60,0.5,253.3,160.1,5.905,123.5,29.66,8.213
P6,dam pool,10/20/17,60,0.5,276.4,166.1,7.219,128.7,35.07,10
P6,dam pool,11/3/17,60,0.5,282,151.6,5.606,134.3,45.01,6.657
P7,dam pool,7/3/17,30,0.5,220.2,61.68,7.27,99.87,27.97,10.66
P7,dam pool,6/13/17,30,0.5,246.1,115.1,8.042,112.8,31.61,12.08
P7,dam pool,6/20/17,30,0.5,233.8,88.16,7.961,108.6,29.58,11.89
P7,dam pool,4/13/17,30,0.5,201.8,87.62,7.026,95.62,31.99,11.99
P7,dam pool,4/19/17,30,0.5,209.1,65.03,7.291,99.64,32.62,11.19
P7,dam pool,4/26/17,30,0.5,212.8,74.99,5.663,100.9,29.85,8.868
P7,dam pool,5/19/17,30,0.5,230.9,70.82,6.044,109.1,28.56,9.19
P7,dam pool,5/26/17,30,0.5,275.2,108.1,6.39,130.3,30.8,9.388
P7,dam pool,6/1/17,30,0.5,247.2,90.37,6.643,110.7,32.91,9.888
P7,dam pool,6/9/17,30,0.5,259.5,59.23,6.921,117.9,33.82,10.29
P7,dam pool,7/13/17,30,0.5,202.4,67.57,7.483,95.34,26.38,10.41
P7,dam pool,7/7/17,30,0.5,205.8,88.17,6.933,96.18,25.55,10.2
P7,dam pool,8/25/17,30,0.5,189.6,0.5,5.471,87.54,24.81,8.011
P7,dam pool,9/5/17,30,0.5,215.2,30.26,10.52,98.73,26.07,15.55
P7,dam pool,10/6/17,30,0.5,223.5,25.02,4.952,105.7,23.03,6.67
P7,dam pool,9/29/17,30,0.5,219,2.443,5.17,103.2,25.92,7.476
P7,dam pool,10/20/17,30,0.5,214,9.528,5.966,98.77,27.8,8.673
P7,dam pool,11/3/17,30,0.5,218.7,26.41,3.986,105.1,28.28,4.611
P7 ,dam pool,4/1/17,30,0.5,220.3,93.99,6.387,101.6,28.31,11.67
P7 ,dam pool,4/5/17,30,0.5,247.5,122.9,6.695,115.6,31.44,15.18
P8,dam pool,7/3/17,15,0.5,285.1,32.16,8.153,128.2,35.06,12.16
P8,dam pool,6/13/17,15,0.5,263.3,122.6,8.406,123.1,32.79,12.58
P8,dam pool,6/20/17,15,0.5,271.9,117.6,8.505,128.8,32.65,12.72
P8,dam pool,4/13/17,15,0.5,275.3,128.6,8.263,132,36.28,12.28
P8,dam pool,4/19/17,15,0.5,260.6,68.26,8.034,125.7,36.88,11.96
P8,dam pool,4/26/17,15,0.5,259.8,57.35,6.662,121.9,33.33,10.25
P8,dam pool,5/19/17,15,0.5,275.5,26.88,6.357,129,32.17,9.716
P8,dam pool,5/26/17,15,0.5,247.9,95.33,6.759,116.3,33.45,9.985
P8,dam pool,6/1/17,15,0.5,268.3,69.34,6.883,119.1,34.16,10.28
P8,dam pool,6/9/17,15,0.5,269.3,13.07,7.034,125.5,34.87,10.56
P8,dam pool,7/13/17,15,0.5,257.6,102,8.23,122.8,31.28,11.83
P8,dam pool,7/7/17,15,0.5,248.6,88.75,8.048,119.2,31.86,12.04
P8,dam pool,8/25/17,15,0.5,265,5.088,6.36,121.7,34.3,9.31
P8,dam pool,9/5/17,15,0.5,277,4.197,11.8,124.9,30.46,16.88
P8,dam pool,10/6/17,15,0.5,316.5,46.41,5.719,146.6,31.18,8.688
P8,dam pool,9/29/17,15,0.5,268.3,10.55,6.659,129.6,31.94,8.923
P8,dam pool,10/20/17,15,0.5,290.5,31.52,6.9,135.8,35.94,10.31
P8,dam pool,11/3/17,15,0.5,292.9,37.89,4.277,139.8,32.33,5.153
P8 ,dam pool,4/1/17,15,0.5,267.4,120.6,6.938,124.1,32.38,12.23
P8 ,dam pool,4/5/17,15,0.5,282.9,134.1,7.243,133.7,33.03,12.87
