sample_name,Site,date,Ca_Mg,Na_K,Fe_Na,Mn_Na,logFeNa,logMnNa
BDP,below dam pool,10/20/17,1.227,2.163,4.229,1.481,0.626,0.171
BDP,below dam pool,11/3/17,1.164,1.745,2.121,0.989,0.326,-0.005
BDP,below dam pool,4/1/17,1.364,2.81,0.267,0.196,-0.574,-0.708
BDP,below dam pool,7/3/17,1.284,2.206,2.17,0.904,0.337,-0.044
BDP,below dam pool,6/13/17,1.231,2.444,2.279,0.891,0.358,-0.050
BDP,below dam pool,6/20/17,1.235,2.416,2.429,0.936,0.385,-0.029
BDP,below dam pool,7/13/17,1.202,2.193,1.013,0.537,0.006,-0.270
BDP,below dam pool,7/7/17,1.237,2.221,2.151,0.97,0.333,-0.013
BDP,below dam pool,8/25/17,1.252,2.257,3.118,1.3,0.494,0.114
BDP,below dam pool,9/5/17,1.283,2.223,1.363,0.617,0.135,-0.210
BDP,below dam pool,10/6/17,1.248,1.985,4.358,1.475,0.639,0.169
BDP,below dam pool,9/29/17,1.219,1.852,3.413,1.446,0.533,0.160
BDP,below dam pool,4/5/17,1.368,4.574,0.197,0.128,-0.706,-0.893
BDP,below dam pool,4/13/17,1.094,2.857,0.88,0.434,-0.056,-0.363
BDP,below dam pool,4/19/17,1.273,2.78,1.675,0.747,0.224,-0.127
BDP,below dam pool,3/27/17,1.257,2.534,2.858,1.032,0.456,0.014
BDP,below dam pool,4/26/17,1.246,2.523,2.065,0.802,0.315,-0.096
BDP,below dam pool,4/26/17,1.246,2.523,2.065,0.802,0.315,-0.096
BDP,below dam pool,5/19/17,1.238,2.907,0.5,0.27,-0.301,-0.569
BDP,below dam pool,5/26/17,0.581,2.827,1.388,0.586,0.142,-0.232
BDP,below dam pool,6/1/17,1.321,2.591,2.264,0.925,0.355,-0.034
BDP,below dam pool,6/9/17,1.288,2.539,2.179,0.891,0.338,-0.050
DP,dam pool,10/20/17,1.176,1.915,1.143,0.922,0.058,-0.035
DP,dam pool,11/3/17,1.136,1.442,0.22,0.56,-0.657,-0.252
DP,dam pool,4/5/17,1.392,4.895,0.019,0.078,-1.71,-1.108
DP,dam pool,7/3/17,1.142,2.321,0.811,0.482,-0.091,-0.317
DP,dam pool,6/13/17,1.156,2.493,1.05,0.423,0.021,-0.374
DP,dam pool,6/20/17,1.178,2.472,0.493,0.38,-0.307,-0.420
DP,dam pool,4/1/17,1.248,2.792,0.985,0.488,-0.007,-0.312
DP,dam pool,4/13/17,1.351,3.3,0.028,0.143,-1.56,-0.845
DP,dam pool,4/19/17,1.028,3.364,0.13,0.314,-0.886,-0.503
DP,dam pool,3/27/17,1.302,2.444,0.792,0.543,-0.101,-0.265
DP,dam pool,4/26/17,1.184,2.048,3.249,1.002,0.512,0.001
DP,dam pool,5/19/17,1.396,3.373,0.028,0.063,-1.56,-1.201
DP,dam pool,5/26/17,1.336,3.255,0.029,0.132,-1.532,-0.879
DP,dam pool,6/1/17,1.177,2.857,1.05,0.446,0.021,-0.351
DP,dam pool,6/9/17,1.259,3.123,0.624,0.409,-0.205,-0.388
DP,dam pool,7/13/17,1.262,2.301,0.16,0.273,-0.795,-0.564
DP,dam pool,7/7/17,1.177,2.131,0.373,0.452,-0.429,-0.345
DP,dam pool,8/25/17,1.254,1.79,2.838,0.969,0.453,-0.014
DP,dam pool,9/5/17,1.231,2.22,0.228,0.287,-0.642,-0.542
DP,dam pool,10/6/17,1.204,1.753,4.242,1.318,0.628,0.120
DP,dam pool,9/29/17,1.157,1.88,3.881,1.332,0.589,0.125
OUT,outlet,6/9/17,1.482,2.355,0.047,0.512,-1.332,-0.291
OUT,outlet,6/10/17,1.465,2.335,0.019,0.566,-1.712,-0.247
OUT,outlet,6/10/17,1.458,2.356,0.066,0.562,-1.18,-0.250
OUT,outlet,6/11/17,1.471,2.362,0.08,0.574,-1.098,-0.241
OUT,outlet,6/11/17,1.585,2.341,0.058,0.582,-1.237,-0.235
OUT,outlet,6/12/17,1.477,2.368,0.068,0.582,-1.168,-0.235
OUT,outlet,6/12/17,1.449,2.52,0.051,0.527,-1.296,-0.278
OUT,outlet,6/13/17,1.49,2.301,0.019,0.588,-1.72,-0.231
OUT,outlet,6/27/17,1.514,2.202,0.049,0.701,-1.307,-0.154
OUT,outlet,6/28/17,1.471,2.212,0.019,0.727,-1.713,-0.138
OUT,outlet,6/29/17,1.459,2.211,0.053,0.723,-1.273,-0.141
OUT,outlet,6/30/17,1.505,2.183,0.02,0.732,-1.706,-0.135
OUT,outlet,7/1/17,1.507,2.101,0.022,0.761,-1.666,-0.119
OUT,outlet,7/2/17,1.508,2.073,0.023,0.724,-1.631,-0.140
OUT,outlet,7/3/17,1.457,2.204,0.07,0.8,-1.156,-0.097
OUT,outlet,7/7/17,1.466,2.05,0.105,0.711,-0.98,-0.148
OUT,outlet,7/7/17,1.492,1.921,0.106,0.694,-0.977,-0.159
OUT,outlet,7/7/17,1.505,1.878,0.072,0.671,-1.14,-0.173
OUT,outlet,7/7/17,1.513,1.6,0.074,0.641,-1.129,-0.193
OUT,outlet,7/7/17,1.535,1.626,0.124,0.582,-0.906,-0.235
OUT,outlet,7/7/17,1.548,1.684,0.108,0.524,-0.966,-0.281
OUT,outlet,7/7/17,1.581,1.685,0.126,0.496,-0.9,-0.305
OUT,outlet,7/7/17,1.572,1.788,0.109,0.495,-0.964,-0.305
OUT,outlet,7/7/17,1.558,1.781,0.049,0.52,-1.31,-0.284
OUT,outlet,7/7/17,1.555,1.797,0.153,0.548,-0.815,-0.261
OUT,outlet,7/7/17,1.522,1.812,0.15,0.575,-0.825,-0.240
OUT,outlet,7/7/17,1.489,1.851,0.328,0.578,-0.484,-0.238
OUT,outlet,7/13/17,1.509,1.926,0.084,0.583,-1.077,-0.234
OUT,outlet,7/13/17,1.542,1.771,0.149,0.534,-0.826,-0.272
OUT,outlet,7/13/17,1.529,1.795,0.158,0.519,-0.8,-0.285
OUT,outlet,7/13/17,1.546,1.851,0.157,0.511,-0.804,-0.292
OUT,outlet,7/13/17,1.539,1.847,0.161,0.52,-0.794,-0.284
OUT,outlet,7/13/17,1.553,1.851,0.139,0.543,-0.857,-0.265
OUT,outlet,7/13/17,1.531,1.882,0.163,0.559,-0.787,-0.253
OUT,outlet,7/13/17,1.532,1.893,0.174,0.575,-0.759,-0.240
OUT,outlet,7/13/17,1.547,1.92,0.191,0.583,-0.719,-0.234
OUT,outlet,7/13/17,1.509,1.918,0.189,0.592,-0.723,-0.228
OUT,outlet,7/13/17,1.533,1.946,0.215,0.605,-0.667,-0.218
OUT,outlet,7/13/17,1.503,1.933,0.226,0.618,-0.646,-0.209
OUT,outlet,6/1/17,1.569,2.385,0.023,0.541,-1.63,-0.267
OUT,outlet,6/2/17,1.586,2.336,0.023,0.596,-1.647,-0.225
OUT,outlet,6/3/17,1.589,2.369,0.022,0.603,-1.649,-0.220
OUT,outlet,6/4/17,1.55,2.349,0.022,0.623,-1.65,-0.206
OUT,outlet,6/5/17,1.584,2.284,0.024,0.597,-1.621,-0.224
OUT,outlet,6/6/17,1.569,2.281,0.024,0.57,-1.619,-0.244
OUT,outlet,8/25/17,1.417,2.039,0.226,0.968,-0.646,-0.014
OUT,outlet,8/28/17,1.402,2.187,0.253,1.126,-0.597,0.052
OUT,outlet,9/12/17,1.287,2.384,0.382,1.238,-0.418,0.093
OUT,outlet,9/15/17,1.319,2.331,0.318,1.253,-0.497,0.098
OUT,outlet,9/18/17,1.313,2.261,0.271,1.299,-0.568,0.114
OUT,outlet,9/21/17,1.278,2.238,0.294,1.33,-0.532,0.124
OUT,outlet,9/29/17,1.361,2.422,0.442,1.377,-0.355,0.139
OUT,outlet,10/1/17,1.339,2.363,0.443,1.37,-0.354,0.137
OUT,outlet,10/3/17,1.324,2.404,0.396,1.405,-0.402,0.148
OUT,outlet,10/5/17,1.34,1.941,0.39,1.291,-0.408,0.111
OUT,outlet,10/8/17,1.393,1.723,0.367,1.361,-0.435,0.134
OUT,outlet,10/8/17,1.354,1.938,0.458,1.352,-0.34,0.131
OUT,outlet,10/8/17,1.38,1.912,0.414,1.32,-0.383,0.121
OUT,outlet,10/8/17,1.349,1.902,0.379,1.271,-0.421,0.104
OUT,outlet,10/9/17,1.399,1.576,0.221,1.156,-0.656,0.063
OUT,outlet,10/9/17,1.392,1.218,0.129,1.145,-0.889,0.059
OUT,outlet,10/9/17,1.402,1.201,0.246,1.126,-0.609,0.052
OUT,outlet,10/9/17,1.397,1.29,0.151,0.995,-0.82,-0.002
OUT,outlet,10/9/17,1.429,1.286,0.105,0.933,-0.979,-0.030
OUT,outlet,10/9/17,1.473,1.42,0.094,0.886,-1.026,-0.053
OUT,outlet,10/9/17,1.426,1.492,0.119,0.911,-0.925,-0.040
OUT,outlet,10/9/17,1.431,1.486,0.151,0.95,-0.82,-0.022
OUT,outlet,10/11/17,1.422,1.818,0.251,1.083,-0.6,0.035
OUT,outlet,10/11/17,1.369,1.937,0.423,1.274,-0.374,0.105
OUT,outlet,10/11/17,1.367,2.012,0.431,1.285,-0.366,0.109
OUT,outlet,10/11/17,1.361,2.028,0.492,1.261,-0.308,0.101
OUT,outlet,10/11/17,1.361,1.932,0.501,1.225,-0.3,0.088
OUT,outlet,10/11/17,1.344,1.887,0.454,1.28,-0.343,0.107
OUT,outlet,10/11/17,1.361,1.881,0.475,1.218,-0.324,0.086
OUT,outlet,10/11/17,1.363,1.883,0.461,1.207,-0.337,0.082
OUT,outlet,10/11/17,1.386,1.973,0.454,1.184,-0.343,0.073
OUT,outlet,10/11/17,1.364,1.897,0.484,1.252,-0.315,0.098
OUT,outlet,10/11/17,1.362,1.961,0.484,1.257,-0.315,0.099
OUT,outlet,10/11/17,1.396,1.91,0.473,1.262,-0.325,0.101
OUT,outlet,10/14/17,1.345,2.083,0.385,1.224,-0.414,0.088
OUT,outlet,10/15/17,1.341,2.222,0.376,1.284,-0.424,0.109
OUT,outlet,10/16/17,1.34,2.074,0.457,1.283,-0.34,0.108
OUT,outlet,10/17/17,1.358,2.125,0.505,1.262,-0.297,0.101
OUT,outlet,10/18/17,1.37,2.009,0.521,1.425,-0.283,0.154
OUT,outlet,10/19/17,1.332,2.254,0.361,1.286,-0.442,0.109
OUT,outlet,10/20/17,1.349,2.315,0.459,1.245,-0.338,0.095
OUT,outlet,6/14/17,1.524,2.271,0.153,0.59,-0.816,-0.229
OUT,outlet,6/14/17,1.532,2.24,0.051,0.588,-1.294,-0.231
OUT,outlet,6/14/17,1.567,2.246,0.086,0.579,-1.064,-0.237
OUT,outlet,6/14/17,1.538,2.26,0.105,0.582,-0.978,-0.235
OUT,outlet,6/14/17,1.525,2.213,0.061,0.606,-1.216,-0.218
OUT,outlet,6/14/17,1.537,2.24,0.097,0.62,-1.015,-0.208
OUT,outlet,6/14/17,1.533,2.287,0.06,0.622,-1.218,-0.206
OUT,outlet,6/14/17,1.508,2.245,0.086,0.623,-1.066,-0.206
OUT,outlet,6/14/17,1.521,2.22,0.196,0.629,-0.708,-0.201
OUT,outlet,6/14/17,1.525,2.25,0.201,0.626,-0.698,-0.203
