sample,Date and time,discharge (m3/s),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),SO42- (mg/L),pH,EC (uS/cm)
"Out 6 14:46, 6/6/17",6/6/17 14:46,0.011985,0.5,248.4,0.5,6.379,95.99,11.65,8.554,852.4732,6.09,1454
Out 1 8-25-17 10:19 am,8/25/17 10:19,0.004551,2.559,239.5,4.618,7.021,102.5,19.47,8.416,NA,3.16,1725
Out 2 8-28-17 0:19 am,8/28/17 10:19,0.002068,2.543,237,4.975,6.303,102.5,21.8,8.105,NA,3.1,1819
Out 1 9-12-17 4:41pm,9/12/17 16:41,0.000138,2.838,230.3,7.428,5.709,108.5,23.67,8.003,1192.4176,2.87,1907
Out 2 9-15-17 4:41 pm,9/15/17 16:41,0.000315,2.771,235.2,6.41,6.051,108.1,24.83,8.295,1051.3962,2.87,1942
Out 3 9-18-17 4:41 pm,9/18/17 16:41,NA,2.869,236.3,5.284,6.047,109.1,24.96,8.04,1059.1193,2.83,1953
Out 4 9-21-17 4:41 pm,9/21/17 16:41,NA,3.345,230.5,6.42,6.836,109.4,28.6,8.997,1070.953,2.79,2011
Out 1 9-29-17,9/29/17 17:41,NA,3.631,279.9,10.62,6.946,124.7,32.54,9.892,1128.3283,2.8,2028
Out 2 10-1-17,10/1/17 17:41,NA,3.543,279,10.96,7.335,126.4,33.37,10.19,1120.4466,2.83,2022
Out 3 10-3-17,10/3/17 17:41,NA,3.385,276.2,9.133,6.71,126.5,31.84,9.486,1118.5512,2.83,2032
Out 4 10-5-17,10/5/17 17:41,0.001428,3.468,269.2,8.515,7.869,121.8,27.7,8.979,990.1198,2.89,1858
Out 1 10-8-17 6pm,10/8/17 18:00,0.005837,2.983,225.9,7.391,8.182,98.35,26.96,8.291,1043.5819,2.92,1899
Out 2 10-8-17 7:30 pm,10/8/17 19:30,0.005444,2.953,227.7,9.694,7.654,102,28.18,8.722,1034.8585,2.87,1914
Out 3 10-8-17 9pm,10/8/17 21:00,0.005337,2.911,223.7,8.659,7.661,98.33,27.17,8.615,1018.8543,2.88,1851
Out 4 10-8-17 10:30 pm,10/8/17 22:30,0.005472,2.739,206.4,7.985,7.749,92.75,26.32,8.665,863.0456,2.98,1666
Out 5 10-9-17 12 am,10/9/17 0:00,0.009816,2.341,171.4,4.163,8.382,74.28,21.46,7.768,577.6868,3.22,1181
Out 6 10-9-17 1:30 am,10/9/17 1:30,0.008178,1.849,125.6,1.768,7.872,54.72,15.42,5.638,623.8979,3.2,1231
Out 7 10-9-17 3 am,10/9/17 3:00,0.009175,2.097,144.6,3.737,8.858,62.53,16.83,6.253,715.7849,3.23,1344
Out 8 10-9-17 4:30 am,10/9/17 4:30,0.011134,1.817,163.4,2.488,8.931,70.95,16.11,6.774,715.2925,3.37,1331
Out 9 10-9-17 6 am,10/9/17 6:00,0.010932,1.632,178,1.706,8.861,75.54,14.93,6.698,823.7494,3.42,1460
Out 10 10-9-17 7:30 am,10/9/17 7:30,0.010558,1.606,207.4,1.691,8.859,85.36,15.65,7.395,879.223,3.4,1536
Out 11 10-9-17 9 am,10/9/17 9:00,0.010018,1.695,212.4,2.173,8.582,90.3,16.39,7.528,876.8849,3.34,1559
Out 12 10-9-17 10:30 am,10/9/17 10:30,0.009222,1.884,213.5,2.743,8.549,90.45,16.96,7.469,902.679,3.29,1576
Out 1 10-11-17 3:02 am,10/11/17 3:02,0.002598,2.192,210,4.655,7.137,89.54,19.74,7.63,949.3677,2.95,1701
Out 2 10-11-17 4:02 am,10/11/17 4:02,0.002192,2.619,204.3,8.249,7.049,90.51,24.44,8.028,950.259,2.89,1719
Out 3 10-11-17 5:02 am,10/11/17 5:02,0.001785,2.628,204.5,8.527,6.893,90.71,25.04,8.154,1291.543,2.91,1741
Out 4 10-11-17 6:02 am,10/11/17 6:02,0.001785,2.538,200.2,9.651,6.776,89.22,24.35,8.08,895.9803,2.96,1611
Out 5 10-11-17 7:02 am,10/11/17 7:02,0.001785,2.426,189.2,9.465,6.84,84.3,22.74,7.77,907.3518,2.96,1678
Out 6 10-11-17 8:02 am,10/11/17 8:02,0.001785,2.528,194.9,8.612,7.036,87.93,23.88,7.808,908.6478,2.95,1649
Out 7 10-11-17 9:02 am,10/11/17 9:02,0.001785,2.504,195.7,9.034,7.084,87.22,22.81,7.837,920.6755,2.96,1669
Out 8 10-11-17 10:02 am,10/11/17 10:02,0.001785,2.557,201,8.978,7.248,89.43,23.15,8.024,954.7222,2.96,1697
Out 9 10-11-17 11:02 am,10/11/17 11:02,0.001785,2.515,198.3,9.148,7.151,86.75,23.47,8.298,925.5076,2.94,1702
Out 10 10-11-17 12:02 pm,10/11/17 12:02,0.001785,2.541,200.2,9.34,7.121,88.98,23.77,7.942,944.9055,2.95,1704
Out 11 10-11-17 1:02 pm,10/11/17 13:02,0.001638,2.452,206,9.341,6.883,91.7,23.85,7.938,955.8175,2.94,1683
Out 12 10-11-17 2:02 pm,10/11/17 14:02,0.001638,2.491,203.7,8.846,6.861,88.48,23.24,7.705,967.1515,2.93,1695
Out 1 10-14-17 11:17 am,10/14/17 11:17,0.000153,2.852,211.8,8.036,7.011,95.5,25.13,8.589,996.5037,2.86,1881
Out 2 10-15-17 11:17 am,10/15/17 11:17,NA,3.065,224.2,8.346,6.988,101.4,28.01,9.13,1010.8498,2.86,1925
Out 3 10-16-17 11:17 am,10/16/17 11:17,0.000579,3.018,221.4,9.632,7.116,100.2,26.61,8.677,997.0916,2.87,1866
Out 4 10-17-17 11:17 am,10/17/17 11:17,0.000165,3.015,222.2,10.51,6.862,99.22,25.86,8.574,1001.2515,2.89,1888
Out 5 10-18-17 11:17 am,10/18/17 11:17,NA,3.462,228.4,11.33,7.577,101.1,30.49,0.605,948.2606,2.92,1901
Out 6 10-19-17 11:17 am,10/19/17 11:17,NA,3.702,223.9,8.998,7.743,101.9,31.53,10.26,1136.3888,2.94,1909
Out 7 10-20-17 11:17 am,10/20/17 11:17,NA,3.588,229.1,11.54,7.604,103,30.8,10.35,1111.4723,2.89,1936
10/22/17,10/22/17 11:39,NA,3.445,238,9.74,6.723,106.9,31.09,9.374,1111.2362,2.83,1952
10/23/17,10/23/17 11:39,NA,3.393,243,11,6.699,108.1,31.51,9.247,1098.2206,2.83,1943
10/24/17,10/24/17 11:39,NA,3.266,228.8,12.15,7.059,102.2,29.09,9,933.8808,2.89,1717
10/25/17,10/25/17 11:39,NA,3.062,202,10.66,7.686,89.81,26.69,8.658,908.8318,2.94,1695
10/26/17,10/26/17 11:39,0.00204669,3.098,209.8,8.72,6.998,92.42,26.74,8.373,934.3323,2.93,1747
10/27/17,10/27/17 11:39,0.001271863,3.156,217,13.69,6.868,97.48,27.75,8.62,1003.3971,2.91,1797
10/28/17,10/28/17 11:39,0.00130901,3.252,219.6,10.86,6.803,99.48,28.49,8.552,1243.6089,2.91,1821
10/29/17,10/29/17 11:39,0.001284259,3.407,221.4,12.72,7.21,102.5,29.19,8.997,1018.8571,2.94,1806
10/30/17,10/30/17 11:39,0.000762673,3.265,224.5,12.42,6.807,101.8,29.18,8.856,1042.5182,2.94,1823
Out 1 11-15-17 16:31,11/15/17 16:31,0.008586309,3.276,203.3,8.532,6.614,92.19,25.95,8.51,807.8926,3.13,1428
Out 2 11-15-17 17:31,11/15/17 17:31,0.009297112,2.494,152.1,5.975,5.942,68.61,19.57,7.401,667.3185,3.23,1272
Out 3 11-15-17 18:31,11/15/17 18:31,0.009912993,2.372,143.7,4.804,5.658,64.99,18.28,7.017,687.6305,3.19,1256
Out 4 11-15-17 19:31,11/15/17 19:31,0.009916301,2.376,142.7,5.528,5.595,64.36,18.13,7.031,639.0436,3.19,1245
Out 5 11-15-17 20:31,11/15/17 20:31,0.009725178,2.33,140.1,5.298,5.45,64.38,17.62,6.982,660.5794,3.19,1244
Out 6 11-15-17 21:31,11/15/17 21:31,0.009661242,2.328,137.6,5.277,5.49,63.32,17.7,7.031,753.8204,3.19,1236
Out 7 11-15-17 22:31,11/15/17 22:31,0.009789001,2.287,138.9,4.939,5.579,64.31,17.58,7.156,669.9542,3.25,1259
Out 8 11-15-17 23:31,11/15/17 23:31,0.009789001,2.347,141.8,5.261,5.568,65.45,17.76,7.119,653.4982,3.24,1250
Out 9 11-16-17 00:31,11/16/17 0:31,0.010152574,2.326,140.9,5.031,5.452,66.54,17.73,7.033,693.0782,3.21,1262
Out 10 11-16-17 1:31,11/16/17 1:31,0.01008638,2.31,143.3,4.985,5.45,64.41,17.83,7.005,638.5984,3.24,1266
Out 11 11-16-17 2:31,11/16/17 2:31,0.01002007,2.404,145.1,5.337,5.538,67.77,18.23,7.226,701.9765,3.23,1269
Out 12 11-16-17 3:31,11/16/17 3:31,0.009953642,2.377,142.9,5.188,5.481,66.22,17.91,6.921,690.6591,3.2,1290
Out 1 6-14-17,6/14/17 12:35,0.00682,0.5,279,4.22,8.514,111,16.02,11.37,1477.3051,4.18,1692
Out 2 6-14-17,6/14/17 13:35,0.006111,0.5,280.6,1.394,8.57,111.1,15.86,11.29,1155.8999,4.16,1692
Out 3 6-14-17,6/14/17 14:35,0.005726,0.5,282.4,2.351,8.495,109.3,15.52,11.22,1108.5639,4.24,1673
Out 4 6-14-17,6/14/17 15:35,0.005084,0.5,282,2.911,8.577,111.2,15.85,11.4,1028.591,3.88,1726
Out 5 6-14-17,6/14/17 16:35,0.005937,1.045,282.7,1.689,8.791,112.4,16.56,11.44,1064.2695,4.15,1698
Out 6 6-14-17,6/14/17 17:35,0.00489,1.277,283.1,2.739,8.868,111.7,17.3,11.68,1143.8923,3.81,1692
Out 7 6-14-17,6/14/17 18:35,0.004812,1.523,276.3,1.697,8.59,109.3,17.16,11.55,1026.6298,3.72,1685
Out 8 6-14-17,6/14/17 19:35,0.005084,1.846,270.8,2.399,8.719,108.9,17.14,11.51,1160.3906,3.65,1689
Out 9 6-14-17,6/14/17 20:35,0.006325,1.638,272.1,5.399,8.687,108.5,17.04,11.34,1008.2547,3.61,1718
Out 10 6-14-17,6/14/17 21:35,0.005549,1.507,264.5,5.334,8.276,105.2,16.38,10.95,1233.3026,3.59,1941
Out 11 6-14-17,6/14/17 22:35,0.005406,1.392,269.9,3.113,8.257,107.7,16.64,10.91,971.0274,3.58,1734
Out 12 6-14-17,6/14/17 23:35,0.005325,1.14,270.1,0.5,8.01,108.5,15.01,10.36,1030.1792,3.61,1718
